# flux   dens met   OH    logU
  0.979  2.0  0.002 7.67  -4.0
  0.48   2.0  0.002 7.67  -3.5
  0.202  2.0  0.002 7.67  -3.0
  0.079  2.0  0.002 7.67  -2.5
  0.032  2.0  0.002 7.67  -2.0
  0.014  2.0  0.002 7.67  -1.5
  0.007  2.0  0.002 7.67  -1.0
  1.456  2.0  0.003 7.846 -4.0
  0.718  2.0  0.003 7.846 -3.5
  0.302  2.0  0.003 7.846 -3.0
  0.118  2.0  0.003 7.846 -2.5
  0.048  2.0  0.003 7.846 -2.0
  0.022  2.0  0.003 7.846 -1.5
  0.012  2.0  0.003 7.846 -1.0
  1.913  2.0  0.004 7.971 -4.0
  0.95   2.0  0.004 7.971 -3.5
  0.4    2.0  0.004 7.971 -3.0
  0.155  2.0  0.004 7.971 -2.5
  0.063  2.0  0.004 7.971 -2.0
  0.03   2.0  0.004 7.971 -1.5
  0.016  2.0  0.004 7.971 -1.0
  2.852  2.0  0.006 8.147 -4.0
  1.44   2.0  0.006 8.147 -3.5
  0.608  2.0  0.006 8.147 -3.0
  0.233  2.0  0.006 8.147 -2.5
  0.095  2.0  0.006 8.147 -2.0
  0.047  2.0  0.006 8.147 -1.5
  0.027  2.0  0.006 8.147 -1.0
  3.76   2.0  0.008 8.272 -4.0
  1.932  2.0  0.008 8.272 -3.5
  0.819  2.0  0.008 8.272 -3.0
  0.31   2.0  0.008 8.272 -2.5
  0.127  2.0  0.008 8.272 -2.0
  0.064  2.0  0.008 8.272 -1.5
  0.039  2.0  0.008 8.272 -1.0
  4.623  2.0  0.01  8.369 -4.0
  2.424  2.0  0.01  8.369 -3.5
  1.036  2.0  0.01  8.369 -3.0
  0.389  2.0  0.01  8.369 -2.5
  0.157  2.0  0.01  8.369 -2.0
  0.08   2.0  0.01  8.369 -1.5
  0.05   2.0  0.01  8.369 -1.0
  6.289  2.0  0.014 8.515 -4.0
  3.46   2.0  0.014 8.515 -3.5
  1.509  2.0  0.014 8.515 -3.0
  0.565  2.0  0.014 8.515 -2.5
