logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-3.5 4.0 0.006 8.147 7.758 0.019 0.177 19.582 100.0 59.874 280.285 38.783 0.295 39.661 85.775 8.687 1.177 0.697 15.451 0.184 0.589 30.236
-3.0 4.0 0.006 8.147 8.219 0.357 0.207 36.902 100.0 254.317 279.478 24.872 0.058 57.201 88.176 8.665 0.885 0.296 15.391 0.078 0.251 30.08
-2.5 4.0 0.006 8.147 8.094 1.264 0.246 49.834 100.0 471.818 278.989 10.951 0.01 64.387 81.492 8.669 0.52 0.119 15.382 0.032 0.101 30.053
-2.0 4.0 0.006 8.147 8.074 2.547 0.32 63.26 100.0 618.373 278.637 4.326 0.002 61.086 65.526 8.667 0.247 0.052 15.363 0.014 0.044 29.988
-1.5 4.0 0.006 8.147 8.373 3.997 0.483 79.461 100.0 734.677 278.102 1.868 0.0 47.688 46.408 8.647 0.107 0.027 15.315 0.007 0.023 29.849
-1.0 4.0 0.006 8.147 8.94 6.563 0.875 96.552 100.0 861.438 277.832 0.981 0.0 31.584 31.872 8.618 0.05 0.017 15.253 0.004 0.014 29.67
-4.0 4.0 0.008 8.272 6.6 0.0 0.083 6.153 100.0 6.943 280.894 57.505 1.433 24.791 71.998 8.807 1.719 1.87 15.682 0.495 1.581 30.795
-3.5 4.0 0.008 8.272 8.476 0.017 0.116 19.082 100.0 61.063 280.18 57.412 0.369 48.655 81.717 8.745 1.504 0.917 15.554 0.243 0.776 30.464
-3.0 4.0 0.008 8.272 9.071 0.337 0.138 34.146 100.0 263.013 279.617 37.646 0.073 69.434 82.819 8.733 1.131 0.39 15.517 0.103 0.33 30.364
-2.5 4.0 0.008 8.272 9.13 1.177 0.168 43.873 100.0 498.523 279.391 16.974 0.012 77.573 74.435 8.746 0.67 0.156 15.53 0.041 0.132 30.396
-2.0 4.0 0.008 8.272 9.377 2.157 0.226 54.608 100.0 662.142 279.128 6.85 0.002 74.67 58.455 8.749 0.328 0.069 15.525 0.018 0.058 30.361
-1.5 4.0 0.008 8.272 10.12 3.516 0.358 70.478 100.0 796.999 278.599 3.044 0.001 60.919 41.453 8.728 0.15 0.037 15.477 0.01 0.031 30.217
-1.0 4.0 0.008 8.272 11.384 6.146 0.675 91.989 100.0 951.686 278.251 1.659 0.0 42.902 29.327 8.694 0.074 0.024 15.409 0.006 0.02 30.002
-4.0 4.0 0.01 8.369 6.9 0.0 0.057 5.65 100.0 6.216 280.759 77.028 1.655 28.536 68.377 8.854 2.048 2.277 15.762 0.602 1.926 30.976
-3.5 4.0 0.01 8.369 8.89 0.013 0.079 17.125 100.0 54.415 280.136 77.445 0.433 55.807 77.411 8.799 1.794 1.128 15.647 0.298 0.954 30.676
-3.0 4.0 0.01 8.369 9.723 0.268 0.094 30.254 100.0 246.529 279.752 52.732 0.089 79.687 77.971 8.789 1.358 0.48 15.619 0.127 0.406 30.604
-2.5 4.0 0.01 8.369 10.022 1.076 0.116 37.686 100.0 492.026 279.733 24.599 0.015 88.972 68.745 8.809 0.815 0.19 15.649 0.05 0.16 30.679
-2.0 4.0 0.01 8.369 10.569 1.909 0.16 45.955 100.0 671.569 279.532 10.127 0.003 87.259 53.107 8.816 0.411 0.084 15.655 0.022 0.071 30.671
-1.5 4.0 0.01 8.369 11.83 3.245 0.261 60.31 100.0 822.187 279.026 4.559 0.001 74.842 37.826 8.796 0.197 0.046 15.611 0.012 0.039 30.529
-1.0 4.0 0.01 8.369 14.019 5.974 0.503 83.403 100.0 998.182 278.624 2.528 0.0 56.18 27.45 8.76 0.103 0.031 15.539 0.008 0.026 30.287
-4.0 4.0 0.014 8.515 7.117 0.0 0.029 4.197 100.0 4.97 280.931 117.08 1.997 33.369 61.939 8.933 2.609 3.087 15.908 0.817 2.611 31.316
-3.5 4.0 0.014 8.515 9.261 0.009 0.042 12.288 100.0 42.683 280.459 118.619 0.54 65.219 69.991 8.887 2.285 1.566 15.813 0.414 1.325 31.065
-3.0 4.0 0.014 8.515 10.574 0.198 0.051 22.103 100.0 208.361 280.268 86.288 0.117 94.682 70.352 8.878 1.756 0.67 15.791 0.177 0.567 31.009
-2.5 4.0 0.014 8.515 11.418 1.004 0.065 27.675 100.0 457.734 280.473 43.328 0.022 107.064 61.17 8.903 1.082 0.262 15.833 0.069 0.222 31.114
-2.0 4.0 0.014 8.515 12.578 1.834 0.093 33.487 100.0 662.593 280.316 18.679 0.004 107.523 46.578 8.913 0.569 0.116 15.85 0.031 0.098 31.133
-1.5 4.0 0.014 8.515 14.828 3.283 0.157 44.605 100.0 840.21 279.876 8.613 0.001 97.874 33.508 8.895 0.293 0.066 15.812 0.017 0.056 30.993
-1.0 4.0 0.014 8.515 18.747 6.605 0.315 65.126 100.0 1048.415 279.438 4.884 0.001 79.613 26.138 8.858 0.163 0.046 15.741 0.012 0.039 30.715
-4.0 4.0 0.02 8.67 7.238 0.0 0.008 2.187 100.0 2.84 281.797 171.678 2.236 35.252 52.283 9.041 3.211 4.213 16.123 1.114 3.563 31.831
-3.5 4.0 0.02 8.67 9.55 0.003 0.013 6.261 100.0 23.943 281.451 176.679 0.634 69.935 60.095 9.003 2.827 2.25 16.045 0.595 1.903 31.621
-3.0 4.0 0.02 8.67 11.453 0.085 0.017 12.452 100.0 133.557 281.253 143.205 0.153 107.122 61.07 8.988 2.25 0.99 16.011 0.262 0.837 31.533
-2.5 4.0 0.02 8.67 13.047 0.765 0.022 17.254 100.0 357.497 281.453 82.608 0.033 127.466 53.35 9.004 1.455 0.389 16.039 0.103 0.329 31.593
-2.0 4.0 0.02 8.67 15.224 1.799 0.032 22.156 100.0 589.35 281.398 38.983 0.007 132.979 40.768 9.017 0.805 0.169 16.064 0.045 0.143 31.631
-1.5 4.0 0.02 8.67 19.132 3.574 0.058 29.766 100.0 802.905 281.146 18.362 0.002 129.497 30.168 9.008 0.445 0.098 16.046 0.026 0.083 31.514
-1.0 4.0 0.02 8.67 26.034 7.872 0.121 44.482 100.0 1043.562 280.846 10.387 0.001 116.526 27.333 8.979 0.268 0.07 15.992 0.019 0.06 31.222
-4.0 4.0 0.04 8.971 8.443 0.0 0.001 0.229 100.0 0.66 285.122 293.014 2.085 27.462 30.275 9.3 4.189 7.258 16.663 1.92 6.139 33.205
-3.5 4.0 0.04 8.971 10.783 0.001 0.001 0.639 100.0 5.017 284.839 312.188 0.655 57.859 35.457 9.273 3.755 4.656 16.607 1.232 3.938 33.046
-3.0 4.0 0.04 8.971 13.616 0.018 0.002 1.74 100.0 32.139 284.664 308.639 0.198 104.37 36.906 9.251 3.226 2.399 16.554 0.635 2.029 32.894
-2.5 4.0 0.04 8.971 16.909 0.276 0.003 4.178 100.0 137.647 285.391 256.361 0.062 153.261 35.855 9.225 2.407 1.091 16.506 0.289 0.923 32.688
-2.0 4.0 0.04 8.971 22.74 1.63 0.005 7.799 100.0 341.653 285.516 166.655 0.02 185.867 32.775 9.216 1.532 0.517 16.485 0.137 0.438 32.53
-1.5 4.0 0.04 8.971 32.914 4.605 0.009 13.354 100.0 603.823 285.112 90.251 0.007 201.788 30.079 9.228 0.944 0.279 16.496 0.074 0.236 32.414
-1.0 4.0 0.04 8.971 51.279 12.123 0.021 20.617 100.0 918.516 285.05 51.851 0.004 205.948 32.379 9.249 0.632 0.2 16.533 0.053 0.169 32.187
