logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.0 2.0 0.008 8.272 11.306 5.242 0.654 71.325 100.0 816.686 277.584 1.672 0.001 37.395 23.976 8.725 0.075 0.039 15.468 0.01 0.033 30.133
-4.0 2.0 0.01 8.369 5.764 0.0 0.054 3.286 100.0 4.718 280.779 70.48 2.61 22.603 21.25 8.927 2.013 4.623 15.898 1.223 3.911 31.33
-3.5 2.0 0.01 8.369 7.498 0.01 0.076 9.452 100.0 39.868 280.3 70.917 0.728 43.719 22.917 8.881 1.754 2.424 15.802 0.641 2.05 31.078
-3.0 2.0 0.01 8.369 8.682 0.219 0.091 16.93 100.0 180.572 280.061 49.72 0.157 62.825 23.81 8.872 1.315 1.036 15.781 0.274 0.876 31.023
-2.5 2.0 0.01 8.369 9.392 0.946 0.112 21.844 100.0 367.723 280.098 24.141 0.029 70.798 24.147 8.89 0.782 0.389 15.809 0.103 0.329 31.097
-2.0 2.0 0.01 8.369 10.143 1.638 0.154 27.875 100.0 517.343 279.862 10.191 0.006 70.543 24.134 8.89 0.395 0.157 15.804 0.041 0.133 31.06
-1.5 2.0 0.01 8.369 11.493 2.755 0.25 38.795 100.0 650.99 279.104 4.566 0.002 61.791 23.896 8.86 0.193 0.08 15.739 0.021 0.067 30.858
-1.0 2.0 0.01 8.369 13.731 5.167 0.482 57.553 100.0 811.218 278.242 2.501 0.001 47.264 23.902 8.807 0.102 0.05 15.633 0.013 0.042 30.519
-4.0 2.0 0.014 8.515 5.901 0.0 0.028 1.965 100.0 3.422 281.336 100.492 2.924 24.783 19.907 9.021 2.471 6.289 16.083 1.664 5.319 31.783
-3.5 2.0 0.014 8.515 7.816 0.007 0.04 5.432 100.0 28.299 281.012 102.025 0.84 47.946 21.846 8.983 2.157 3.46 16.006 0.915 2.927 31.577
-3.0 2.0 0.014 8.515 9.402 0.157 0.049 9.626 100.0 135.209 280.946 76.001 0.193 69.606 22.984 8.98 1.638 1.509 15.998 0.399 1.276 31.558
-2.5 2.0 0.014 8.515 10.58 0.867 0.061 11.983 100.0 293.373 281.237 39.671 0.038 78.238 23.53 9.009 0.994 0.565 16.053 0.149 0.478 31.703
-2.0 2.0 0.014 8.515 11.896 1.593 0.087 15.089 100.0 436.948 281.126 17.772 0.008 79.421 23.678 9.017 0.522 0.226 16.068 0.06 0.191 31.717
-1.5 2.0 0.014 8.515 14.15 2.825 0.148 21.977 100.0 581.867 280.427 8.23 0.002 74.487 23.656 8.988 0.274 0.116 16.007 0.031 0.098 31.511
-1.0 2.0 0.014 8.515 18.004 5.725 0.296 35.938 100.0 764.763 279.556 4.636 0.001 62.73 24.12 8.934 0.156 0.075 15.897 0.02 0.063 31.128
-4.0 2.0 0.02 8.67 6.178 0.0 0.008 0.779 100.0 1.751 282.629 135.747 2.957 24.236 17.809 9.142 2.895 8.428 16.338 2.23 7.128 32.422
-3.5 2.0 0.02 8.67 8.315 0.002 0.013 2.114 100.0 14.226 282.381 140.565 0.889 47.705 20.013 9.111 2.553 5.019 16.274 1.328 4.245 32.246
-3.0 2.0 0.02 8.67 10.276 0.064 0.016 3.877 100.0 74.677 282.286 115.071 0.224 72.262 21.413 9.106 2.0 2.318 16.262 0.613 1.961 32.219
-2.5 2.0 0.02 8.67 11.941 0.613 0.02 4.85 100.0 184.033 282.601 68.319 0.051 83.398 22.352 9.139 1.26 0.904 16.326 0.239 0.765 32.386
-2.0 2.0 0.02 8.67 14.055 1.514 0.03 6.251 100.0 300.873 282.69 33.976 0.012 85.888 23.11 9.161 0.688 0.356 16.373 0.094 0.301 32.482
-1.5 2.0 0.02 8.67 17.722 3.02 0.053 9.476 100.0 442.003 282.322 16.205 0.004 86.299 23.499 9.142 0.386 0.179 16.335 0.047 0.151 32.313
-1.0 2.0 0.02 8.67 24.231 6.685 0.111 16.758 100.0 632.796 281.588 9.146 0.002 82.193 24.566 9.093 0.241 0.117 16.235 0.031 0.099 31.898
-4.0 2.0 0.04 8.971 7.597 0.0 0.001 0.042 100.0 0.316 286.519 190.81 2.16 15.897 12.487 9.424 3.348 12.874 16.943 3.406 10.889 34.019
-3.5 2.0 0.04 8.971 9.75 0.0 0.001 0.106 100.0 2.27 286.394 205.316 0.712 33.058 14.397 9.402 3.037 9.409 16.896 2.489 7.958 33.878
