# flux   dens met   OH    logU
  30.285 2.0  0.002 7.67  -4.0
  29.794 2.0  0.002 7.67  -3.5
  29.404 2.0  0.002 7.67  -3.0
  29.111 2.0  0.002 7.67  -2.5
  28.862 2.0  0.002 7.67  -2.0
  28.654 2.0  0.002 7.67  -1.5
  28.457 2.0  0.002 7.67  -1.0
  30.436 2.0  0.003 7.846 -4.0
  29.992 2.0  0.003 7.846 -3.5
  29.674 2.0  0.003 7.846 -3.0
  29.46  2.0  0.003 7.846 -2.5
  29.27  2.0  0.003 7.846 -2.0
  29.075 2.0  0.003 7.846 -1.5
  28.856 2.0  0.003 7.846 -1.0
  30.589 2.0  0.004 7.971 -4.0
  30.185 2.0  0.004 7.971 -3.5
  29.931 2.0  0.004 7.971 -3.0
  29.785 2.0  0.004 7.971 -2.5
  29.64  2.0  0.004 7.971 -2.0
  29.45  2.0  0.004 7.971 -1.5
  29.211 2.0  0.004 7.971 -1.0
  30.829 2.0  0.006 8.147 -4.0
  30.492 2.0  0.006 8.147 -3.5
  30.334 2.0  0.006 8.147 -3.0
  30.277 2.0  0.006 8.147 -2.5
  30.175 2.0  0.006 8.147 -2.0
  29.98  2.0  0.006 8.147 -1.5
  29.7   2.0  0.006 8.147 -1.0
  31.081 2.0  0.008 8.272 -4.0
  30.796 2.0  0.008 8.272 -3.5
  30.703 2.0  0.008 8.272 -3.0
  30.719 2.0  0.008 8.272 -2.5
  30.649 2.0  0.008 8.272 -2.0
  30.447 2.0  0.008 8.272 -1.5
  30.133 2.0  0.008 8.272 -1.0
  31.33  2.0  0.01  8.369 -4.0
  31.078 2.0  0.01  8.369 -3.5
  31.023 2.0  0.01  8.369 -3.0
  31.097 2.0  0.01  8.369 -2.5
  31.06  2.0  0.01  8.369 -2.0
  30.858 2.0  0.01  8.369 -1.5
  30.519 2.0  0.01  8.369 -1.0
  31.783 2.0  0.014 8.515 -4.0
  31.577 2.0  0.014 8.515 -3.5
  31.558 2.0  0.014 8.515 -3.0
  31.703 2.0  0.014 8.515 -2.5
  31.717 2.0  0.014 8.515 -2.0
  31.511 2.0  0.014 8.515 -1.5
  31.128 2.0  0.014 8.515 -1.0
  32.422 2.0  0.02  8.67  -4.0
  32.246 2.0  0.02  8.67  -3.5
  32.219 2.0  0.02  8.67  -3.0
  32.386 2.0  0.02  8.67  -2.5
  32.482 2.0  0.02  8.67  -2.0
  32.313 2.0  0.02  8.67  -1.5
  31.898 2.0  0.02  8.67  -1.0
  34.019 2.0  0.04  8.971 -4.0
  33.878 2.0  0.04  8.971 -3.5
  33.81  2.0  0.04  8.971 -3.0
  33.834 2.0  0.04  8.971 -2.5
  33.98  2.0  0.04  8.971 -2.0
  34.028 2.0  0.04  8.971 -1.5
  33.66  2.0  0.04  8.971 -1.0
  30.269 3.0  0.002 7.67  -4.0
  29.778 3.0  0.002 7.67  -3.5
  29.391 3.0  0.002 7.67  -3.0
  29.101 3.0  0.002 7.67  -2.5
  28.86  3.0  0.002 7.67  -2.0
  28.662 3.0  0.002 7.67  -1.5
  28.476 3.0  0.002 7.67  -1.0
  30.41  3.0  0.003 7.846 -4.0
  29.963 3.0  0.003 7.846 -3.5
  29.642 3.0  0.003 7.846 -3.0
  29.428 3.0  0.003 7.846 -2.5
  29.242 3.0  0.003 7.846 -2.0
  29.059 3.0  0.003 7.846 -1.5
  28.854 3.0  0.003 7.846 -1.0
  30.553 3.0  0.004 7.971 -4.0
  30.143 3.0  0.004 7.971 -3.5
  29.882 3.0  0.004 7.971 -3.0
  29.73  3.0  0.004 7.971 -2.5
  29.587 3.0  0.004 7.971 -2.0
  29.411 3.0  0.004 7.971 -1.5
  29.186 3.0  0.004 7.971 -1.0
  30.773 3.0  0.006 8.147 -4.0
  30.426 3.0  0.006 8.147 -3.5
  30.248 3.0  0.006 8.147 -3.0
  30.175 3.0  0.006 8.147 -2.5
  30.074 3.0  0.006 8.147 -2.0
  29.895 3.0  0.006 8.147 -1.5
  29.636 3.0  0.006 8.147 -1.0
  31.005 3.0  0.008 8.272 -4.0
  30.706 3.0  0.008 8.272 -3.5
  30.585 3.0  0.008 8.272 -3.0
  30.57  3.0  0.008 8.272 -2.5
  30.496 3.0  0.008 8.272 -2.0
  30.314 3.0  0.008 8.272 -1.5
  30.027 3.0  0.008 8.272 -1.0
  31.233 3.0  0.01  8.369 -4.0
  30.968 3.0  0.01  8.369 -3.5
  30.878 3.0  0.01  8.369 -3.0
  30.903 3.0  0.01  8.369 -2.5
  30.854 3.0  0.01  8.369 -2.0
  30.673 3.0  0.01  8.369 -1.5
  30.366 3.0  0.01  8.369 -1.0
  31.65  3.0  0.014 8.515 -4.0
  31.432 3.0  0.014 8.515 -3.5
  31.366 3.0  0.014 8.515 -3.0
  31.427 3.0  0.014 8.515 -2.5
  31.405 3.0  0.014 8.515 -2.0
  31.223 3.0  0.014 8.515 -1.5
  30.884 3.0  0.014 8.515 -1.0
  32.243 3.0  0.02  8.67  -4.0
  32.059 3.0  0.02  8.67  -3.5
  31.977 3.0  0.02  8.67  -3.0
  32.02  3.0  0.02  8.67  -2.5
  32.022 3.0  0.02  8.67  -2.0
  31.859 3.0  0.02  8.67  -1.5
  31.505 3.0  0.02  8.67  -1.0
  33.703 3.0  0.04  8.971 -4.0
  33.563 3.0  0.04  8.971 -3.5
  33.445 3.0  0.04  8.971 -3.0
  33.313 3.0  0.04  8.971 -2.5
  33.208 3.0  0.04  8.971 -2.0
  33.07  3.0  0.04  8.971 -1.5
  32.746 3.0  0.04  8.971 -1.0
  30.213 4.0  0.002 7.67  -4.0
  29.715 4.0  0.002 7.67  -3.5
  29.347 4.0  0.002 7.67  -3.0
  29.089 4.0  0.002 7.67  -2.5
  28.88  4.0  0.002 7.67  -2.0
  28.742 4.0  0.002 7.67  -1.5
  28.67  4.0  0.002 7.67  -1.0
  30.328 4.0  0.003 7.846 -4.0
  29.865 4.0  0.003 7.846 -3.5
  29.565 4.0  0.003 7.846 -3.0
  29.387 4.0  0.003 7.846 -2.5
  29.236 4.0  0.003 7.846 -2.0
  29.104 4.0  0.003 7.846 -1.5
  28.999 4.0  0.003 7.846 -1.0
  30.445 4.0  0.004 7.971 -4.0
  30.014 4.0  0.004 7.971 -3.5
  29.772 4.0  0.004 7.971 -3.0
  29.661 4.0  0.004 7.971 -2.5
  29.553 4.0  0.004 7.971 -2.0
  29.421 4.0  0.004 7.971 -1.5
  29.288 4.0  0.004 7.971 -1.0
  30.613 4.0  0.006 8.147 -4.0
  30.236 4.0  0.006 8.147 -3.5
  30.08  4.0  0.006 8.147 -3.0
  30.053 4.0  0.006 8.147 -2.5
  29.988 4.0  0.006 8.147 -2.0
  29.849 4.0  0.006 8.147 -1.5
  29.67  4.0  0.006 8.147 -1.0
  30.795 4.0  0.008 8.272 -4.0
  30.464 4.0  0.008 8.272 -3.5
  30.364 4.0  0.008 8.272 -3.0
  30.396 4.0  0.008 8.272 -2.5
  30.361 4.0  0.008 8.272 -2.0
  30.217 4.0  0.008 8.272 -1.5
  30.002 4.0  0.008 8.272 -1.0
  30.976 4.0  0.01  8.369 -4.0
  30.676 4.0  0.01  8.369 -3.5
  30.604 4.0  0.01  8.369 -3.0
  30.679 4.0  0.01  8.369 -2.5
  30.671 4.0  0.01  8.369 -2.0
  30.529 4.0  0.01  8.369 -1.5
  30.287 4.0  0.01  8.369 -1.0
  31.316 4.0  0.014 8.515 -4.0
  31.065 4.0  0.014 8.515 -3.5
  31.009 4.0  0.014 8.515 -3.0
  31.114 4.0  0.014 8.515 -2.5
  31.133 4.0  0.014 8.515 -2.0
  30.993 4.0  0.014 8.515 -1.5
  30.715 4.0  0.014 8.515 -1.0
  31.831 4.0  0.02  8.67  -4.0
  31.621 4.0  0.02  8.67  -3.5
  31.533 4.0  0.02  8.67  -3.0
  31.593 4.0  0.02  8.67  -2.5
  31.631 4.0  0.02  8.67  -2.0
  31.514 4.0  0.02  8.67  -1.5
  31.222 4.0  0.02  8.67  -1.0
  33.205 4.0  0.04  8.971 -4.0
  33.046 4.0  0.04  8.971 -3.5
  32.894 4.0  0.04  8.971 -3.0
  32.688 4.0  0.04  8.971 -2.5
  32.53  4.0  0.04  8.971 -2.0
