# flux  dens met   OH    logU
  0.001 4.0  0.004 7.971 -2.0
  0.0   4.0  0.004 7.971 -1.5
  0.0   4.0  0.004 7.971 -1.0
  1.16  4.0  0.006 8.147 -4.0
  0.295 4.0  0.006 8.147 -3.5
  0.058 4.0  0.006 8.147 -3.0
  0.01  4.0  0.006 8.147 -2.5
  0.002 4.0  0.006 8.147 -2.0
  0.0   4.0  0.006 8.147 -1.5
  0.0   4.0  0.006 8.147 -1.0
  1.433 4.0  0.008 8.272 -4.0
  0.369 4.0  0.008 8.272 -3.5
  0.073 4.0  0.008 8.272 -3.0
  0.012 4.0  0.008 8.272 -2.5
  0.002 4.0  0.008 8.272 -2.0
  0.001 4.0  0.008 8.272 -1.5
  0.0   4.0  0.008 8.272 -1.0
  1.655 4.0  0.01  8.369 -4.0
  0.433 4.0  0.01  8.369 -3.5
  0.089 4.0  0.01  8.369 -3.0
  0.015 4.0  0.01  8.369 -2.5
  0.003 4.0  0.01  8.369 -2.0
  0.001 4.0  0.01  8.369 -1.5
  0.0   4.0  0.01  8.369 -1.0
  1.997 4.0  0.014 8.515 -4.0
  0.54  4.0  0.014 8.515 -3.5
  0.117 4.0  0.014 8.515 -3.0
  0.022 4.0  0.014 8.515 -2.5
  0.004 4.0  0.014 8.515 -2.0
  0.001 4.0  0.014 8.515 -1.5
  0.001 4.0  0.014 8.515 -1.0
  2.236 4.0  0.02  8.67  -4.0
  0.634 4.0  0.02  8.67  -3.5
  0.153 4.0  0.02  8.67  -3.0
  0.033 4.0  0.02  8.67  -2.5
  0.007 4.0  0.02  8.67  -2.0
  0.002 4.0  0.02  8.67  -1.5
  0.001 4.0  0.02  8.67  -1.0
  2.085 4.0  0.04  8.971 -4.0
  0.655 4.0  0.04  8.971 -3.5
  0.198 4.0  0.04  8.971 -3.0
  0.062 4.0  0.04  8.971 -2.5
  0.02  4.0  0.04  8.971 -2.0
  0.007 4.0  0.04  8.971 -1.5
  0.004 4.0  0.04  8.971 -1.0
