# flux  dens met   OH    logU
  0.167 4.0  0.004 7.971 -2.0
  0.068 4.0  0.004 7.971 -1.5
  0.029 4.0  0.004 7.971 -1.0
  1.344 4.0  0.006 8.147 -4.0
  1.177 4.0  0.006 8.147 -3.5
  0.885 4.0  0.006 8.147 -3.0
  0.52  4.0  0.006 8.147 -2.5
  0.247 4.0  0.006 8.147 -2.0
  0.107 4.0  0.006 8.147 -1.5
  0.05  4.0  0.006 8.147 -1.0
  1.719 4.0  0.008 8.272 -4.0
  1.504 4.0  0.008 8.272 -3.5
  1.131 4.0  0.008 8.272 -3.0
  0.67  4.0  0.008 8.272 -2.5
  0.328 4.0  0.008 8.272 -2.0
  0.15  4.0  0.008 8.272 -1.5
  0.074 4.0  0.008 8.272 -1.0
  2.048 4.0  0.01  8.369 -4.0
  1.794 4.0  0.01  8.369 -3.5
  1.358 4.0  0.01  8.369 -3.0
  0.815 4.0  0.01  8.369 -2.5
  0.411 4.0  0.01  8.369 -2.0
  0.197 4.0  0.01  8.369 -1.5
  0.103 4.0  0.01  8.369 -1.0
  2.609 4.0  0.014 8.515 -4.0
  2.285 4.0  0.014 8.515 -3.5
  1.756 4.0  0.014 8.515 -3.0
  1.082 4.0  0.014 8.515 -2.5
  0.569 4.0  0.014 8.515 -2.0
  0.293 4.0  0.014 8.515 -1.5
  0.163 4.0  0.014 8.515 -1.0
  3.211 4.0  0.02  8.67  -4.0
  2.827 4.0  0.02  8.67  -3.5
  2.25  4.0  0.02  8.67  -3.0
  1.455 4.0  0.02  8.67  -2.5
  0.805 4.0  0.02  8.67  -2.0
  0.445 4.0  0.02  8.67  -1.5
  0.268 4.0  0.02  8.67  -1.0
  4.189 4.0  0.04  8.971 -4.0
  3.755 4.0  0.04  8.971 -3.5
  3.226 4.0  0.04  8.971 -3.0
  2.407 4.0  0.04  8.971 -2.5
  1.532 4.0  0.04  8.971 -2.0
  0.944 4.0  0.04  8.971 -1.5
  0.632 4.0  0.04  8.971 -1.0
