# flux    dens met   OH    logU
  278.18  4.0  0.004 7.971 -2.0
  277.683 4.0  0.004 7.971 -1.5
  277.528 4.0  0.004 7.971 -1.0
  281.087 4.0  0.006 8.147 -4.0
  280.285 4.0  0.006 8.147 -3.5
  279.478 4.0  0.006 8.147 -3.0
  278.989 4.0  0.006 8.147 -2.5
  278.637 4.0  0.006 8.147 -2.0
  278.102 4.0  0.006 8.147 -1.5
  277.832 4.0  0.006 8.147 -1.0
  280.894 4.0  0.008 8.272 -4.0
  280.18  4.0  0.008 8.272 -3.5
  279.617 4.0  0.008 8.272 -3.0
  279.391 4.0  0.008 8.272 -2.5
  279.128 4.0  0.008 8.272 -2.0
  278.599 4.0  0.008 8.272 -1.5
  278.251 4.0  0.008 8.272 -1.0
  280.759 4.0  0.01  8.369 -4.0
  280.136 4.0  0.01  8.369 -3.5
  279.752 4.0  0.01  8.369 -3.0
  279.733 4.0  0.01  8.369 -2.5
  279.532 4.0  0.01  8.369 -2.0
  279.026 4.0  0.01  8.369 -1.5
  278.624 4.0  0.01  8.369 -1.0
  280.931 4.0  0.014 8.515 -4.0
  280.459 4.0  0.014 8.515 -3.5
  280.268 4.0  0.014 8.515 -3.0
  280.473 4.0  0.014 8.515 -2.5
  280.316 4.0  0.014 8.515 -2.0
  279.876 4.0  0.014 8.515 -1.5
  279.438 4.0  0.014 8.515 -1.0
  281.797 4.0  0.02  8.67  -4.0
  281.451 4.0  0.02  8.67  -3.5
  281.253 4.0  0.02  8.67  -3.0
  281.453 4.0  0.02  8.67  -2.5
  281.398 4.0  0.02  8.67  -2.0
  281.146 4.0  0.02  8.67  -1.5
  280.846 4.0  0.02  8.67  -1.0
  285.122 4.0  0.04  8.971 -4.0
  284.839 4.0  0.04  8.971 -3.5
  284.664 4.0  0.04  8.971 -3.0
  285.391 4.0  0.04  8.971 -2.5
  285.516 4.0  0.04  8.971 -2.0
  285.112 4.0  0.04  8.971 -1.5
  285.05  4.0  0.04  8.971 -1.0
