# flux    dens met   OH    logU
  45.299  4.0  0.004 7.971 -2.0
  33.947  4.0  0.004 7.971 -1.5
  20.989  4.0  0.004 7.971 -1.0
  20.063  4.0  0.006 8.147 -4.0
  39.661  4.0  0.006 8.147 -3.5
  57.201  4.0  0.006 8.147 -3.0
  64.387  4.0  0.006 8.147 -2.5
  61.086  4.0  0.006 8.147 -2.0
  47.688  4.0  0.006 8.147 -1.5
  31.584  4.0  0.006 8.147 -1.0
  24.791  4.0  0.008 8.272 -4.0
  48.655  4.0  0.008 8.272 -3.5
  69.434  4.0  0.008 8.272 -3.0
  77.573  4.0  0.008 8.272 -2.5
  74.67   4.0  0.008 8.272 -2.0
  60.919  4.0  0.008 8.272 -1.5
  42.902  4.0  0.008 8.272 -1.0
  28.536  4.0  0.01  8.369 -4.0
  55.807  4.0  0.01  8.369 -3.5
  79.687  4.0  0.01  8.369 -3.0
  88.972  4.0  0.01  8.369 -2.5
  87.259  4.0  0.01  8.369 -2.0
  74.842  4.0  0.01  8.369 -1.5
  56.18   4.0  0.01  8.369 -1.0
  33.369  4.0  0.014 8.515 -4.0
  65.219  4.0  0.014 8.515 -3.5
  94.682  4.0  0.014 8.515 -3.0
  107.064 4.0  0.014 8.515 -2.5
  107.523 4.0  0.014 8.515 -2.0
  97.874  4.0  0.014 8.515 -1.5
  79.613  4.0  0.014 8.515 -1.0
  35.252  4.0  0.02  8.67  -4.0
  69.935  4.0  0.02  8.67  -3.5
  107.122 4.0  0.02  8.67  -3.0
  127.466 4.0  0.02  8.67  -2.5
  132.979 4.0  0.02  8.67  -2.0
  129.497 4.0  0.02  8.67  -1.5
  116.526 4.0  0.02  8.67  -1.0
  27.462  4.0  0.04  8.971 -4.0
  57.859  4.0  0.04  8.971 -3.5
  104.37  4.0  0.04  8.971 -3.0
  153.261 4.0  0.04  8.971 -2.5
  185.867 4.0  0.04  8.971 -2.0
  201.788 4.0  0.04  8.971 -1.5
  205.948 4.0  0.04  8.971 -1.0
