# flux    dens met   OH    logU
  2.38    4.0  0.004 7.971 -2.0
  0.982   4.0  0.004 7.971 -1.5
  0.485   4.0  0.004 7.971 -1.0
  38.872  4.0  0.006 8.147 -4.0
  38.783  4.0  0.006 8.147 -3.5
  24.872  4.0  0.006 8.147 -3.0
  10.951  4.0  0.006 8.147 -2.5
  4.326   4.0  0.006 8.147 -2.0
  1.868   4.0  0.006 8.147 -1.5
  0.981   4.0  0.006 8.147 -1.0
  57.505  4.0  0.008 8.272 -4.0
  57.412  4.0  0.008 8.272 -3.5
  37.646  4.0  0.008 8.272 -3.0
  16.974  4.0  0.008 8.272 -2.5
  6.85    4.0  0.008 8.272 -2.0
  3.044   4.0  0.008 8.272 -1.5
  1.659   4.0  0.008 8.272 -1.0
  77.028  4.0  0.01  8.369 -4.0
  77.445  4.0  0.01  8.369 -3.5
  52.732  4.0  0.01  8.369 -3.0
  24.599  4.0  0.01  8.369 -2.5
  10.127  4.0  0.01  8.369 -2.0
  4.559   4.0  0.01  8.369 -1.5
  2.528   4.0  0.01  8.369 -1.0
  117.08  4.0  0.014 8.515 -4.0
  118.619 4.0  0.014 8.515 -3.5
  86.288  4.0  0.014 8.515 -3.0
  43.328  4.0  0.014 8.515 -2.5
  18.679  4.0  0.014 8.515 -2.0
  8.613   4.0  0.014 8.515 -1.5
  4.884   4.0  0.014 8.515 -1.0
  171.678 4.0  0.02  8.67  -4.0
  176.679 4.0  0.02  8.67  -3.5
  143.205 4.0  0.02  8.67  -3.0
  82.608  4.0  0.02  8.67  -2.5
  38.983  4.0  0.02  8.67  -2.0
  18.362  4.0  0.02  8.67  -1.5
  10.387  4.0  0.02  8.67  -1.0
  293.014 4.0  0.04  8.971 -4.0
  312.188 4.0  0.04  8.971 -3.5
  308.639 4.0  0.04  8.971 -3.0
  256.361 4.0  0.04  8.971 -2.5
  166.655 4.0  0.04  8.971 -2.0
  90.251  4.0  0.04  8.971 -1.5
  51.851  4.0  0.04  8.971 -1.0
